Episode,Reward,Success_Rate,Energy_Efficiency,Avg_Energy,Avg_Throughput,Throughput_Efficiency
1,0.3559234498054517,0.1806,0.20196799838047663,4.4710053436232355,0.16881984760982963,0.18879405708003533
2,0.16086077524239098,0.092,0.10202988965754088,4.508482774449439,0.08081823866962198,0.08962908667150364
3,0.2551261946058093,0.1272,0.14627587839790068,4.34794859525607,0.12354031824644449,0.1420673629642678
4,0.2609297334480804,0.1284,0.13923406513978734,4.6109405723049806,0.14402022224814842,0.15617228197776753
5,0.5192885513231849,0.1796,0.20973851489826456,4.281521686351133,0.3325529394361423,0.38835834990194323
6,0.5028583937516967,0.2486,0.2765104237396787,4.495309736208082,0.23318546342028407,0.259365290829751
7,0.42645435533290615,0.2006,0.23325150325158517,4.300079467947367,0.20990429409740682,0.24407024993610657
8,0.5613872636825605,0.2744,0.32637477195521086,4.203756288455661,0.2588312787238216,0.30785714128412134
9,0.22565410495073684,0.1186,0.12547263610985712,4.726130082106516,0.11886949460987468,0.1257577474009058
10,0.45553435787141094,0.226,0.26255788150169723,4.3038129098885785,0.2140378109022939,0.24866068226445645
11,0.5362163350306957,0.2766,0.33163970543403826,4.170188241453112,0.23041591144158247,0.2762656001366661
12,0.35354344128009374,0.194,0.2133715089537727,4.546061490384606,0.14981944636819214,0.16477938836185554
13,0.27331164976614836,0.1392,0.15259659774079506,4.5610453332796155,0.1376844243093432,0.15093516315736918
14,0.4679789012809777,0.2456,0.2741369274249997,4.479513254688991,0.20307113484740394,0.22666651854957287
15,0.1821153958731803,0.0858,0.09428096273232461,4.550229310003806,0.11067655784466447,0.1216164618356035
16,-0.01935471487798261,0.0026,0.0026890048702422125,4.834502214504737,0.018605524037523028,0.019242440288579993
17,0.3317935569444007,0.1562,0.1684166611747423,4.637308414454709,0.1786173829676743,0.19258734486034562
18,0.3201922291059861,0.1518,0.16356365435662118,4.64039522096478,0.17158149273506543,0.18487810258044368
19,0.30235819265716835,0.1512,0.16722093645336925,4.5209649941819094,0.14812632224600555,0.16382157618631343
20,0.39048926893313685,0.1964,0.2168786027404226,4.5278786730996,0.1846451716520505,0.20389809995245517
21,0.0663623250052646,0.0442,0.04607817113670462,4.796197300112838,0.04833402496117633,0.05038786140015465
22,0.16181224738734248,0.093,0.09879698775526292,4.706621229706767,0.08565527046865644,0.09099443771683424
23,0.18615233767515457,0.0946,0.10286789769029442,4.59813032656764,0.10450366108344472,0.11363712385404855
24,0.23139714560065017,0.124,0.1429627153939978,4.336795074794937,0.10897783442305242,0.12564328328126662
25,0.30955952428899924,0.1552,0.17804111015883833,4.358543930150155,0.15162830984898512,0.17394376686225277
26,0.1707129252514425,0.0864,0.09458022488745359,4.567550991912542,0.10151017447878631,0.11112100845565118
27,0.5466549158349452,0.2822,0.3241059494354769,4.353514653025221,0.23631262478797138,0.2714044210506558
28,0.3241046865978612,0.141,0.1564945087367177,4.504950401717122,0.185819629041769,0.20623937276972168
29,0.3622559589160468,0.1772,0.1926955492176399,4.597926644373647,0.18017109051638772,0.19592645169411085
30,0.4194043875869955,0.2044,0.22541945329792448,4.533770200610321,0.20797755858853734,0.22936490976157117
31,0.02869363283346197,0.0196,0.02068553633673277,4.7376098160904085,0.04206780893867563,0.04439771379631155
32,0.2202112902843373,0.1044,0.11447671514159852,4.559879267625105,0.12725425961443607,0.13953687383560173
33,0.5374717880852539,0.25,0.27226303499154847,4.591148409253582,0.27053824231089973,0.294630251731378
34,0.32823041261236163,0.1456,0.15398778460322768,4.727647727875297,0.18645266390760876,0.19719390555290425
35,0.3338457323970998,0.1742,0.19688888965089535,4.423814881298657,0.15629986578466468,0.17665733080899307
36,0.1247851588049647,0.0752,0.08307530823123747,4.52601390239102,0.06785176056888678,0.07495752557569672
37,0.31460480621775266,0.1462,0.15778967601302563,4.632749229674922,0.17432028747888945,0.1881391360040455
38,0.26009939358000256,0.1308,0.1480639671807506,4.417009840089067,0.13087000107699745,0.14814320752606536
39,0.4446434629262159,0.2154,0.24034551161731726,4.48104893972316,0.2146821609935161,0.23954453955012953
40,0.24553353013053528,0.1186,0.13106097288262086,4.524611613642568,0.13396882479505767,0.14804455745009812
41,0.23275792886671604,0.1166,0.13291647627266462,4.386213179501049,0.1237512171047782,0.1410684023329384
42,0.11001296674673101,0.063,0.06559807872363187,4.8019699071845,0.07205174046215163,0.07502310703191925
43,0.42834221930800315,0.204,0.2284703848879374,4.464473592497779,0.21518254638622822,0.24099430977464706
44,0.3494131796031655,0.1748,0.19841622229788725,4.404881767619998,0.17048539908026944,0.19351870047170916
45,0.12688445124794767,0.0734,0.08012407681977803,4.580395987906207,0.07085120663134203,0.07734179186517189
46,0.08897345139652295,0.0574,0.06067485860757822,4.730130511818845,0.054828579856780926,0.057956730495897106
47,0.22694681424193155,0.1216,0.12935854381584463,4.700114751334488,0.11650891317696077,0.12394262623469011
48,0.12379516237950078,0.0652,0.0688380956875882,4.735749830726059,0.07726898523834398,0.08158051839754543
49,0.4774079243093535,0.2366,0.2652026685729042,4.460739427570252,0.22286187494420637,0.24980373608776155
50,0.16271950526378245,0.0938,0.0994167489070055,4.717514957552102,0.0863315713518154,0.09150111036066803
51,0.19374182840114396,0.111,0.11691053345495674,4.747219806449949,0.09928125468445331,0.10456778781294468
52,0.6454138902510566,0.2874,0.33083779626212195,4.3435182323045955,0.3314844496831112,0.3815851942530368
53,0.08069346516519729,0.0478,0.04958889219037347,4.819627732002376,0.06160944356153616,0.06391514758748777
54,0.2951814786207437,0.1334,0.15051495848664273,4.431453236983035,0.16747019128790988,0.18895628852661073
55,0.3857389529216556,0.1784,0.21189555067166171,4.2096211891781525,0.19639757395075938,0.23327226503853454
56,0.48857087100921687,0.2408,0.28103552411973026,4.284155904386867,0.22542936490035903,0.2630965935080994
57,0.01554916175680331,0.0206,0.02170190544946415,4.746127027410084,0.033099110264037696,0.03486960006852109
58,0.7021832428373709,0.333,0.37465542036918875,4.4440835751403105,0.3355935691287169,0.3775734225679154
59,0.20126201876046812,0.1022,0.11107072894395899,4.600672065975423,0.10942923480891602,0.11892744499027352
60,0.31479463920485523,0.1606,0.17984329749350533,4.464998202276616,0.1542934632277657,0.17278110341578015
61,0.14404446735489673,0.069,0.07464891092789534,4.62163473936333,0.09633149125350854,0.10421798420484767
62,0.6641580708412946,0.3186,0.37400821977406035,4.259264678627483,0.3152141953325752,0.37003358456952096
63,0.2607018913187013,0.1344,0.15169884361782926,4.429829417111123,0.12613873107157317,0.14237425326620534
64,0.2973617618021597,0.147,0.16552907338285014,4.440307584517359,0.1481412323060858,0.16681415587360496
65,0.1703629804666165,0.1066,0.11412743247056563,4.670218092722492,0.07760681545275468,0.08308692861013048
66,0.5457599864348786,0.236,0.27660713694561523,4.265978141525698,0.2881672212936751,0.33775046628651273
